BondCode,BondName,Issuer,Term,CreditRating,BondType,IssueDate,CouponRate,_priority,_merge_code
185547,22云交01,云南省交通投资建设集团有限公司,3.0,AAA,02,2022-03-21,4.2,999,185547
185548,22甬投01,宁波开发投资集团有限公司,5.0,AAA,02,2022-03-21,3.18,999,185548
185549,22陕金01,陕西金融控股集团有限公司,3.0,AAA,02,2022-05-10,3.75,999,185549
185550,22国君G1,国泰海通证券股份有限公司,3.0,AAA,02,2022-03-21,3.04,999,185550
185551,22南山01,南山集团有限公司,3.0,AAA,02,2022-05-11,5.3,999,185551
185553,22榆能01,陕西榆林能源集团有限公司,5.0,,02,2022-03-23,3.58,999,185553
185554,22国君G2,国泰海通证券股份有限公司,10.0,AAA,02,2022-03-21,3.74,999,185554
185555,22苏创01,苏州创元投资发展(集团)有限公司,5.0,,02,2022-03-25,3.4,999,185555
185556,22财证01,财信证券股份有限公司,2.0,AAA,02,2022-03-29,3.13,999,185556
185557,22远租02,海发宝诚融资租赁有限公司,3.0,,02,2022-03-23,4.27,999,185557
185558,22中泰02,中泰证券股份有限公司,3.0,AAA,02,2022-03-24,3.18,999,185558
185559,22财证02,财信证券股份有限公司,3.0,AAA,02,2022-03-29,3.38,999,185559
185560,22赣交01,江西省交通投资集团有限责任公司,10.0,AAA,02,2022-06-16,3.1,999,185560
185561,22赣交02,江西省交通投资集团有限责任公司,10.0,AAA,02,2022-06-16,3.69,999,185561
185562,22交房01,中交房地产集团有限公司,5.0,AAA,02,2022-03-22,3.49,999,185562
185563,22锡产Y1,无锡产业发展集团有限公司,,AAA,02,2022-03-23,3.6,999,185563
185565,22兴泸02,泸州市兴泸投资集团有限公司,7.0,AA+,02,2022-06-01,3.75,999,185565
185567,22格地02,珠海珠免集团股份有限公司,3.0,AA+,02,2022-03-29,7.0,999,185567
185568,22交投Y1,中交投资有限公司,,AAA,02,2022-03-21,3.42,999,185568
